"","scientificName","ias"
"405","Dolichotis patagonum","Ovis aries"
"406","Brotomys voratus","Unspecified Rattus"
"407","Proechimys decumanus","Capra hircus"
"408","Phyllomys thomasi","Felis catus"
"409","Brachyuromys betsileoensis","Rattus rattus"
"410","Brachyuromys ramirohitra","Unspecified RODENTIA"
"411","Brachytarsomys albicauda","Unspecified RODENTIA"
"412","Brachytarsomys villosa","Unspecified RODENTIA"
"413","Gymnuromys roberti","Rattus rattus"
"414","Nesomys rufus","Unspecified RODENTIA"
"415","Eliurus minor","Unspecified RODENTIA"
"416","Eliurus grandidieri","Unspecified RODENTIA"
"417","Lariscus obscurus","Rattus rattus"
"418","Tamiasciurus mearnsi","Sciurus carolinensis"
"419","Cynomys leucurus","Yersinia pestis"
"420","Urocitellus elegans","Yersinia pestis"
"421","Neotamias palmeri","Canis familiaris"
"422","Nesophontes edithae","Unspecified Rattus"
"423","Nesophontes zamicrus","Unspecified Rattus"
"424","Nesophontes micrus","Unspecified Rattus"
"425","Nesophontes paramicrus","Unspecified Rattus"
"426","Nesophontes hypomicrus","Unspecified Rattus"
"427","Nesophontes major","Unspecified Rattus"
"428","Crocidura orii","Herpestes javanicus"
"429","Crocidura trichura","Anoplolepis gracilipes"
"430","Sorex pribilofensis","Unspecified Rattus"
"431","Desmana moschata","Myocastor coypus"
"432","Mogera uchidai","Capra hircus"
"433","Paraechinus micropus","Prosopis juliflora"
"434","Atopogale cubana","Canis familiaris"
"435","Neodon sikimensis","Canis familiaris"
"436","Aegialomys galapagoensis","Mus musculus"
"437","Microtus abbreviatus","Rangifer tarandus"
"438","Sigmodon peruanus","Unspecified Rattus"
"439","Oligoryzomys arenalis","Unspecified Rattus"
"440","Peromyscus madrensis","Capra hircus"
"441","Peromyscus caniceps","Felis catus"
"442","Peromyscus sejugis","Felis catus"
"443","Megalomys desmarestii","Unspecified HERPESTIDAE"
"444","Megalomys luciae","Unspecified HERPESTIDAE"
"445","Reithrodontomys raviventris","Vulpes vulpes"
